_______________________________________________________________________________________________________________________________________________________________________________________

Gang Tournament 2 Results
Number of Strategies: 10   Tournament Iterations: 1   Game Iterations: 20   Spy Chance: 0%
_______________________________________________________________________________________________________________________________________________________________________________________

                                               Gang Member Strategies

Gang Name      Total Score    Member 1       Member 2       Member 3       Member 4       Member 5       
Gang 154       9572           Strategy8      Strategy8      Strategy2      Strategy2      Strategy3      
Gang 155       9910           Strategy1      Strategy4      Strategy6      Strategy1      Strategy10     
Gang 156       9249.5         Strategy8      Strategy9      Strategy3      Strategy10     Strategy3      
Gang 157       9472.5         Strategy4      Strategy2      Strategy8      Strategy9      Strategy5      
Gang 158       9646.5         Strategy5      Strategy6      Strategy1      Strategy4      Strategy2      
Gang 159       9427.5         Strategy6      Strategy6      Strategy1      Strategy10     Strategy8      
Gang 160       9830.5         Strategy2      Strategy6      Strategy7      Strategy1      Strategy1      
Gang 161       10161          Strategy2      Strategy3      Strategy9      Strategy3      Strategy3      
Gang 162       10158          Strategy2      Strategy6      Strategy2      Strategy6      Strategy2      
Gang 163       9952.5         Strategy7      Strategy4      Strategy4      Strategy2      Strategy4      
Gang 164       10161.5        Strategy10     Strategy5      Strategy4      Strategy10     Strategy10     
Gang 165       9692           Strategy9      Strategy8      Strategy8      Strategy1      Strategy6      
Gang 166       10358          Strategy9      Strategy2      Strategy5      Strategy9      Strategy5      
Gang 167       9223           Strategy9      Strategy2      Strategy10     Strategy3      Strategy8      
Gang 168       9556           Strategy1      Strategy8      Strategy4      Strategy9      Strategy1      
Gang 169       9585           Strategy8      Strategy10     Strategy1      Strategy9      Strategy7      
Gang 170       10175          Strategy6      Strategy3      Strategy3      Strategy10     Strategy5      
Gang 171       9640           Strategy8      Strategy6      Strategy3      Strategy7      Strategy2      
Gang 172       9768           Strategy8      Strategy8      Strategy10     Strategy7      Strategy4      
Gang 173       9778.5         Strategy2      Strategy2      Strategy3      Strategy9      Strategy1      
Gang 174       9814           Strategy5      Strategy6      Strategy7      Strategy1      Strategy9      
Gang 175       9814.5         Strategy2      Strategy4      Strategy7      Strategy9      Strategy7      
Gang 176       9611           Strategy2      Strategy8      Strategy1      Strategy5      Strategy7      
Gang 177       9801           Strategy3      Strategy7      Strategy10     Strategy7      Strategy2      
Gang 178       9784.5         Strategy1      Strategy2      Strategy7      Strategy5      Strategy3      
Gang 179       9207.5         Strategy3      Strategy4      Strategy4      Strategy8      Strategy2      
Gang 180       10027.5        Strategy6      Strategy5      Strategy7      Strategy10     Strategy2      
Gang 181       9457           Strategy5      Strategy8      Strategy2      Strategy6      Strategy1      
Gang 182       10203.5        Strategy6      Strategy2      Strategy5      Strategy9      Strategy9      
Gang 183       9963.5         Strategy9      Strategy6      Strategy7      Strategy6      Strategy6      
Gang 184       9230           Strategy9      Strategy10     Strategy3      Strategy10     Strategy8      
Gang 185       9431.5         Strategy5      Strategy1      Strategy9      Strategy8      Strategy6      
Gang 186       10164.5        Strategy5      Strategy10     Strategy10     Strategy3      Strategy2      
Gang 187       9757.5         Strategy1      Strategy10     Strategy4      Strategy2      Strategy9      
Gang 188       9716.5         Strategy3      Strategy7      Strategy8      Strategy4      Strategy7      
Gang 189       9688.5         Strategy1      Strategy5      Strategy5      Strategy4      Strategy4      
Gang 190       10193          Strategy5      Strategy6      Strategy4      Strategy10     Strategy2      
Gang 191       9819.5         Strategy9      Strategy7      Strategy1      Strategy4      Strategy4      
Gang 192       9448           Strategy9      Strategy1      Strategy9      Strategy4      Strategy8      
Gang 193       9722.5         Strategy4      Strategy3      Strategy7      Strategy7      Strategy1      
Gang 194       9601           Strategy5      Strategy8      Strategy8      Strategy10     Strategy6      
Gang 195       9554           Strategy3      Strategy10     Strategy1      Strategy8      Strategy7      
Gang 196       9798.5         Strategy1      Strategy5      Strategy7      Strategy6      Strategy4      
Gang 197       10121          Strategy6      Strategy3      Strategy2      Strategy10     Strategy9      
Gang 198       9748.5         Strategy4      Strategy9      Strategy1      Strategy3      Strategy9      
Gang 199       9616.5         Strategy9      Strategy8      Strategy5      Strategy2      Strategy8      
Gang 200       9791.5         Strategy6      Strategy3      Strategy7      Strategy1      Strategy10     

Average Score: 9761.9
Leader Changes Choice: N/A
Total Spies: 0
Total Spies Discovered: 0
Percent Discovered: N/A
_______________________________________________________________________________________________________________________________________________________________________________________

Winning Combination: Gang 179

Member 1 - Strategy3
Member 2 - Strategy4
Member 3 - Strategy4
Member 4 - Strategy8
Member 5 - Strategy2
_______________________________________________________________________________________________________________________________________________________________________________________
